,Topic,Words,Frequency,Timestamp
0,-1,"theory, book, argue, view, philosophical",98,2000
1,0,"moral, political, rights, book, Roberts",41,2000
2,1,"justification, evidentialism, evaluation system, measure, TG view",9,2000
3,2,"mathematical, philosophy mathematics, proofs, nominalist, structures",13,2000
4,3,"great writer, writer, Mary, great, Twain great",6,2000
5,4,"internalism, self interest, motivation, desire, rationality",13,2000
6,5,"Clarks book, cognitive, Heidegger, Heidegger scholar, cognitive science",2,2000
7,6,"modal, model theory, model theoretic, theoretic truth, possible worlds",3,2000
8,7,"probability, rationality, Nash Equilibrium, theory decision, Equilibrium",5,2000
9,8,"quantum, quasi set, set theory, mechanics, quasi truth",5,2000
10,9,"theories time, tenseless, tenseless theories, temporal, temporal experience",3,2000
11,10,"microphysics, microparticle, conspecifics, explanations, human actions",3,2000
12,11,"complex demonstratives, demonstrative, noun phrases, complex, noun",3,2000
13,13,"causation, causal, causal laws, causal power, raising causation",7,2000
14,15,"predominant motivation, underdetermination argue, Leplin, realism, success",4,2000
15,16,"character, perceptual, perception, visual, phenomenal",5,2000
16,17,"logics, translations, classical logic, conservative translations, translation logics",7,2000
17,18,"bronze, Problem Universals, statue lump, topology, object cannot",5,2000
18,19,"responsibility, moral responsibility, bank, guidance control, driven accounts",7,2000
19,20,"emotion, expressions emotion, emotion fitting, emotion actions, desire",5,2000
20,21,"modal facts, physicalism, facts contingent, objection physicalism, rejected anyway",1,2000
21,22,"vagueness, Sorensens argument, George tall, cavity, view vagueness",6,2000
22,23,"gender, card, sexes And, beings range, penis females",2,2000
23,24,"veridical color, colour, veridical, physicalism, qualia",4,2000
24,25,"personal identity, persons, man married, psychological continuity, psychological",4,2000
25,27,"warrant comes, justification claiming, Plantinga justification, property calls, defined makes",1,2000
26,29,"art, aesthetic, mass art, arts, artistic",9,2000
27,30,"Christian, good evil, Christian philosophers, would God, reason think",4,2000
28,31,"may preferable, view indeterminism, kind improve, appeal event, compatibilist accounts",2,2000
29,32,"Hume, personal identity, explaining Hume, certain tensions, concerned puzzle",2,2000
30,33,"Wittgenstein, Stroll, philosophy, Investigations, meaning",10,2000
31,34,"Kant, Putnam reads, reads Kant, reasonableness, transcendental idealism",7,2000
32,35,"perceptual, Mind World, Evans view, McDowell argues, vulnerable objections",2,2000
33,36,"computer science, conditionals, scientist struck, relevant much, Adams based",1,2000
34,37,"metaphysics, year author, metaphysics resourcefulness, treatise extraordinary, metaphysics treatise",2,2000
35,38,"internalism, justification, knowledge, deontology, duties obligations",8,2000
36,39,"Chain Paradoxes, liar sentence, strengthened liar, truth, contradictions",3,2000
37,40,"thesis holds, mental property, physical property, efficacy, thesupervenience thesis",1,2000
38,41,"Plato, Socrates, Aristotle, stoics, stoicism",6,2000
39,42,"adaptive, logics, thisdelivers property, andACLuNs2 logics, thedegree abnormality",1,2000
40,43,"virtue, epistemology, virtues, virtue epistemology, virtues skills",2,2000
41,44,"skepticism, ancient, external world, ancient skepticism, knowledge",7,2000
42,45,"general essay, collective body, answer Rousseau, constituted moral, body deliberation",1,2000
43,49,"She explained, without explaining, How speaker, distinction thing, phrase complementizer",1,2000
44,50,"compass, vibrated presence, mine shafts, devices determining, determining direction",1,2000
45,52,"stages, objects, four dimensionalism, four dimensionalists, dimensionalism",2,2000
46,53,"Coady, Reidian view, rely others, word others, generate knowledge",3,2000
47,55,"core features, theory human, essays, human action, temporally extended",6,2000
48,58,"conceptual, concepts, relation bears, lexical, conceptual analysis",2,2000
49,59,"morally considerable, environmentalist agenda, considerable holists, extremes labels, consideration consideration",2,2000
50,61,"dispositions, analysis dispositions, conditional analysis, equivocation, antidote",3,2000
51,62,"normative dimension, dimension, thinkers speakers, mental semantic, interpretationist thought",1,2000
52,63,"mirror, hallucinations, unendorsed, reversed copies, scene Some",3,2000
