,Topic,Words,Frequency,Timestamp
0,-1,"book, theory, great writer, philosophical, two",104,2000
1,0,"political, Roberts, rights, book, state",41,2000
2,1,"HE pr, evaluation system, TG view, justification, evidentialism",9,2000
3,2,"mathematics, philosophy mathematics, rationals, nominalist, structures",13,2000
4,3,"advice, self interest, internalism, motivation, model internalism",13,2000
5,4,"Clarks book, Heidegger, Heidegger scholar, cognitive, Being",2,2000
6,5,"modal, model theory, theoretic truth, free logic, theoretic",3,2000
7,6,"probability, Nash Equilibrium, Equilibrium, rationality, theory decision",5,2000
8,7,"quasi, quantum, quasi set, truth quasi, set theory",5,2000
9,8,"tensed, theories time, tenseless theories, tenseless, temporal experience",3,2000
10,9,"level, conspecifics, human actions, causal approach, explanations",3,2000
11,10,"demonstratives, complex demonstratives, noun phrases, noun, complex",3,2000
12,12,"causation, causal, probability raising, causal laws, causal power",7,2000
13,14,"sciences, predominant motivation, reach empirical, underdetermination argue, antirealist",4,2000
14,15,"character, qualia possible, inverted qualia, sense modalities, character experiences",5,2000
15,16,"logics, translation logics, conservative translations, classical logic, intuitionistic",7,2000
16,17,"bronze, Problem Universals, statue lump, object cannot, topology",5,2000
17,18,"bank, control, driven accounts, robbery, guidance",7,2000
18,19,"emotion, expressions emotion, envy, emotion fitting, evaluative features",5,2000
19,20,"modal facts, rejecting S5, explanations modal, properties necessitate, existence enormous",1,2000
20,21,"vagueness, Sorensens argument, George tall, cavity, view vagueness",6,2000
21,22,"gender, reactive guerrilla, females different, function polite, inquiry gender",2,2000
22,23,"veridical color, veridical, physicalism, manifest behaviour, specification veridical",4,2000
23,24,"man married, psychological continuity, analyses personal, self aware, persons",4,2000
24,26,"claiming, theorizes epistemic, Plantinga justification, Plantinga theorizes, warrant defined",1,2000
25,28,"art, mass art, aesthetic, arts, formalism",9,2000
26,29,"God, OT false, choose good, Christian philosophers, would God",4,2000
27,30,"action centered, direct production, modest metaphysical, view indeterminism, examines libertarian",2,2000
28,31,"Hume, personal identity, Treatise, representation essay, introspective subjectivist",2,2000
29,32,"Wittgenstein, Stroll, philosophy, analytic, meaning",10,2000
30,33,"Kant, Cassam, reads Kant, Putnam reads, reasonableness",7,2000
31,34,"Mind World, Evans view, McDowell argues, vulnerable objections, perceptual representation",2,2000
32,35,"computer, computer science, conditionals relationship, relevant much, Adams based",1,2000
33,36,"Categories, metaphysics, precision Published, persons appearances, substrata ontology",2,2000
34,37,"externalism, content, justification, deontology, duties obligations",8,2000
35,38,"Chain Paradoxes, liar sentence, strengthened liar, Paradoxes, Knower",3,2000
36,39,"thesis holds, physical property, mental property, reductionism thecausal, line thesis",1,2000
37,40,"Aristotle, Socrates, stoics, stoicism, Plato",6,2000
38,41,"terms ofa, ofthe adaptive, terms selected, thisdelivers property, ofa selection",1,2000
39,42,"virtues skills, epistemology, virtue, justification, virtue epistemology",2,2000
40,43,"skepticism, ancient, ancient skepticism, direct realist, external world",7,2000
41,44,"deliberation subject, constituted moral, association individuals, answer Rousseau, body deliberation",1,2000
42,48,"She explained, without explaining, explained semantically, predicate satisfied, semantically monadic",1,2000
43,49,"simple useful, compass, shafts vibrated, determining direction, sensitivity foibles",1,2000
44,51,"endurantist, SR, four dimensionalists, stage theorists, dimensionalists",2,2000
45,52,"Reidian view, rely others, word others, generate knowledge, hearer",3,2000
46,54,"core features, theory human, essays, temporally extended, human action",6,2000
47,57,"Fodor, relation bears, lexical, concepts, moonshine",2,2000
48,58,"morally considerable, environmentalist agenda, environmentalist, agenda, human beings",2,2000
49,60,"disposition, objection conditional, manifestation, objection, Bird",3,2000
50,61,"normative dimension, interpretationist thought, features interpretation, content hypothetical, knowledge thoughts",1,2000
51,62,"mirror, version intentional, reverses original, inserted backwards, front experience",3,2000
52,63,"Descartes, Augustine, Aristotle, mind, influence Descartes",5,2000
53,64,"self deception, deception defends, deception divided, deception parallel, except deceiver",1,2000
54,65,"Leibniz, Spinoza, Rutherford, theodicy, theodicy essential",3,2000
55,66,"critical reasoning, introspectivist, introspective evidence, epistemic difference, incompletely",3,2000
56,70,"unpleasantness, sensations proper, affective, sensations, episodic feeling",2,2000
57,72,"statistical mechanics, chance events, contrastive, chance, statistical",3,2000
58,73,"dubious quality, coherence, Or know, fully reliable, coherence information",2,2000
59,74,"Fitchs Proof, Fitchs, verificationism, knower paradox, realist truth",4,2000
60,75,"necessary identities, posteriori necessary, existence posteriori, Kripke argued, water H2O",1,2000
61,78,"Frege, judgement stroke, puzzle, thought judging, judgementstroke associated",1,2000
62,83,"intervention, preclude alternatives, moral responsibility, alternate possibilities, responsibility",1,2000
63,87,"Carnap, dispute Rudolf, centrality familiarity, Quines dispute, arguments reality",2,2000
64,-1,"Heidegger, book, philosophy, self consciousness, Russellianism",133,2001
