,Topic,Words,Frequency,Class
0,-1,"one, argue, paper, properties, knowledge",197,Philosophical Quarterly
1,0,"rights, normative, value, justice, argue",167,Philosophical Quarterly
2,1,"belief, justification, epistemic, evidence, beliefs",24,Philosophical Quarterly
3,2,"mathematical objects, abstraction, objects, mathematicians, structuralists",22,Philosophical Quarterly
4,3,"63, names, reference, philosophy, 2013 Quarterly",23,Philosophical Quarterly
5,4,"normative, desire, internalism, requirements, ought",30,Philosophical Quarterly
6,5,"Clarks argument, sense functionalism, common sense, common, functionalism",4,Philosophical Quarterly
7,6,"modalism, possible worlds, modality, essentialism, impossible worlds",15,Philosophical Quarterly
8,7,"decision, deliberation, decision theory, deliberation compatibilism, rational choice",4,Philosophical Quarterly
9,8,"metaphysical indeterminacy, extended simples, indeterminacy, Humeanism, particles",7,Philosophical Quarterly
10,9,"time, temporal, temporal reality, tenseless, conclusion temporal",9,Philosophical Quarterly
11,10,"emergence, collapse problem, biological, species, biology",14,Philosophical Quarterly
12,11,"metalinguistic, linguistic, speaker, metalinguistic disagreement, meaning meaning",7,Philosophical Quarterly
13,12,"scientific, collective scientific, level justification, non experts, knowledge",5,Philosophical Quarterly
14,13,"causation, causal, causal argument, downwards causation, emergent downwards",5,Philosophical Quarterly
15,14,"contextualism, invariantism, sensitive invariantism, knowledge, subject sensitive",18,Philosophical Quarterly
16,15,"underdetermination, Putnams model, scientific, replaces Putnams, model theory",4,Philosophical Quarterly
17,16,"perceptual, visual, perception, visible figure, object",16,Philosophical Quarterly
18,17,"logic, genuinely factual, rules logic, tonk, proof theoretic",6,Philosophical Quarterly
19,18,"parts, Composition, Extensionality, objects, mereology",19,Philosophical Quarterly
20,19,"responsibility, moral responsibility, blameworthiness, ignorance, blameworthy",16,Philosophical Quarterly
21,20,"emotions, emotion, pride, evaluative, care",22,Philosophical Quarterly
22,21,"physicalism, Revelation, Cs premises, phenomenal properties, dualism",6,Philosophical Quarterly
23,22,"vagueness, vague, vague identity, ontically vague, inexact knowledge",7,Philosophical Quarterly
24,23,"rape, white ignorance, ignorance, sexual, racial",6,Philosophical Quarterly
25,24,"colour, colourings, qualia, perceptual, referent",9,Philosophical Quarterly
26,25,"personal identity, continuity, psychological continuity, Parﬁt, one relation",11,Philosophical Quarterly
27,26,"fictional, fiction, fictional realism, fictional objects, imaginative resistance",10,Philosophical Quarterly
28,27,"knowledge, ignore evidence, believed tradition, counter closure, permissibility version",7,Philosophical Quarterly
29,28,"disagreement, conciliationism, conciliatory views, conciliatory, peers",4,Philosophical Quarterly
30,29,"art, artistic, artworks, artistic value, aesthetic value",24,Philosophical Quarterly
31,30,"God, theology, natural theology, theism, Richard Swinburne",10,Philosophical Quarterly
32,31,"libertarianism, compatibilism, indeterminism, rollback, free skepticism",8,Philosophical Quarterly
33,32,"Hume, induction, religious belief, argument, Religion",12,Philosophical Quarterly
34,33,"Wittgenstein, Teichmann, Kripkes sceptical, Conants, middle period",11,Philosophical Quarterly
35,34,"Kant, Kants, freely beautiful, appearances things, Deduction",8,Philosophical Quarterly
36,35,"perceptual, perceptual experiences, motivations view, belief, perceptual belief",3,Philosophical Quarterly
37,36,"conditionals, doxastic dependence, indicative conditionals, strict implication, Goodmans paradox",5,Philosophical Quarterly
38,37,"ideological, ideological kinds, parsimony ought, account ideological, endorse principle",3,Philosophical Quarterly
39,38,"externalism, externalist, social externalism, Sawyer, thought experiments",6,Philosophical Quarterly
40,39,"truth, paradoxes, liar paradox, theory truth, treatises paradoxes",5,Philosophical Quarterly
41,40,"causal powers, powers, anomalism mental, anomalism, inheritance",3,Philosophical Quarterly
42,41,"Plato, Aquinas, Republic, Socrates, Aristotelian",10,Philosophical Quarterly
43,43,"virtue, virtue epistemology, virtues, aptness, intellectual virtue",7,Philosophical Quarterly
44,44,"skepticism, scepticism, sceptic, sceptical challenges, Epistemic Angst",7,Philosophical Quarterly
45,45,"collectives, Reids epistemology, moral self, robots, hold robots",4,Philosophical Quarterly
46,47,"laws, laws nature, necessitarianism, metaphysically, metaphysically necessary",5,Philosophical Quarterly
47,48,"knowledge, skills, knowledge wh, intelligent depends, part whether",2,Philosophical Quarterly
48,50,"oriented, intuitions, expertise, research oriented, Centrality",3,Philosophical Quarterly
49,51,"slingshot, theories facts, propositions, extensional connectives, However Neale",1,Philosophical Quarterly
50,52,"temporal parts, perdurance, temporal, objects, endurantism",3,Philosophical Quarterly
51,53,"testimony, injustice, hearers, reductionism, testimonial contexts",4,Philosophical Quarterly
52,54,"joint action, shared agency, development, Gricean communication, planning agents",5,Philosophical Quarterly
53,55,"intention, Agential Knowledge, intentions, Agential, authority intention",6,Philosophical Quarterly
54,56,"assertion, assertions, existentially known, knowledge, importance role",3,Philosophical Quarterly
55,57,"deflationism, deflationists, deflationary, theories truth, semantic deflationism",10,Philosophical Quarterly
56,58,"conceptual, content desiderata, intentionality cognitive, conceptual analysis, concepts",3,Philosophical Quarterly
57,59,"animals, harm thesis, posthumous, future bias, Epicurus",6,Philosophical Quarterly
58,60,"memory, remembering, reliabilism, remembering entail, Preservationism",3,Philosophical Quarterly
59,61,"disposition, dispositional, conditional, analysis dispositions, manifestation",11,Philosophical Quarterly
60,62,"attitudes, vocabulary, inference, express independence, compatible agents",4,Philosophical Quarterly
61,63,"realist, hallucination, naïve realist, experiences, naïve realism",4,Philosophical Quarterly
